x_m,y_m,s_m,track_width_m
9.96600,6.46650,0.00000,0.4500
9.96592,6.48650,0.02000,0.4500
9.96584,6.50650,0.04000,0.4500
9.96578,6.52649,0.05999,0.4500
9.96574,6.54649,0.07999,0.4500
9.96570,6.56649,0.09999,0.4500
9.96562,6.58649,0.11999,0.4500
9.96554,6.60648,0.13998,0.4500
9.96548,6.62648,0.15998,0.4500
9.96544,6.64648,0.17998,0.4500
9.96540,6.66648,0.19998,0.4500
9.96532,6.68647,0.21998,0.4500
9.96524,6.70647,0.23997,0.4500
9.96518,6.72647,0.25997,0.4500
9.96514,6.74647,0.27997,0.4500
9.96510,6.76647,0.29997,0.4500
9.96502,6.78646,0.31996,0.4500
9.96494,6.80646,0.33996,0.4500
9.96488,6.82646,0.35996,0.4500
9.96484,6.84646,0.37996,0.4500
9.96480,6.86645,0.39996,0.4500
9.96472,6.88645,0.41995,0.4500
9.96464,6.90645,0.43995,0.4500
9.96458,6.92645,0.45995,0.4500
9.96454,6.94645,0.47995,0.4500
9.96450,6.96644,0.49995,0.4500
9.96442,6.98644,0.51994,0.4500
9.96434,7.00644,0.53994,0.4500
9.96428,7.02644,0.55994,0.4500
9.96424,7.04643,0.57994,0.4500
9.96420,7.06643,0.59993,0.4500
9.96412,7.08643,0.61993,0.4500
9.96404,7.10643,0.63993,0.4500
9.96396,7.12642,0.65993,0.4500
9.96388,7.14642,0.67993,0.4500
9.96380,7.16642,0.69992,0.4500
9.96376,7.18642,0.71992,0.4500
9.96372,7.20642,0.73992,0.4500
9.96366,7.22641,0.75992,0.4500
9.96358,7.24641,0.77991,0.4500
9.96350,7.26641,0.79991,0.4500
9.96346,7.28641,0.81991,0.4500
9.96342,7.30640,0.83991,0.4500
9.96336,7.32640,0.85991,0.4500
9.96328,7.34640,0.87990,0.4500
9.96320,7.36640,0.89990,0.4500
9.96316,7.38639,0.91990,0.4500
9.96312,7.40639,0.93990,0.4500
9.96306,7.42639,0.95989,0.4500
9.96298,7.44639,0.97989,0.4500
9.96290,7.46639,0.99989,0.4500
9.96286,7.48638,1.01989,0.4500
9.96282,7.50638,1.03989,0.4500
9.96276,7.52638,1.05988,0.4500
9.96268,7.54638,1.07988,0.4500
9.96260,7.56637,1.09988,0.4500
9.96256,7.58637,1.11988,0.4500
9.96252,7.60637,1.13988,0.4500
9.96246,7.62637,1.15987,0.4500
9.96238,7.64636,1.17987,0.4500
9.96230,7.66636,1.19987,0.4500
9.96226,7.68636,1.21987,0.4500
9.96222,7.70636,1.23986,0.4500
9.96216,7.72636,1.25986,0.4500
9.96208,7.74635,1.27986,0.4500
9.96200,7.76635,1.29986,0.4500
9.96192,7.78635,1.31986,0.4500
9.96184,7.80635,1.33985,0.4500
9.96178,7.82634,1.35985,0.4500
9.96174,7.84634,1.37985,0.4500
9.96170,7.86634,1.39985,0.4500
9.96162,7.88634,1.41984,0.4500
9.96154,7.90633,1.43984,0.4500
