x_m,y_m,s_m
9.74100,6.46681,0.00000
9.74092,6.48560,0.02000
9.74084,6.50571,0.04000
9.74078,6.52593,0.05999
9.74074,6.54604,0.07999
9.74070,6.56581,0.09999
9.74062,6.58559,0.11999
9.74054,6.60570,0.13998
9.74048,6.62592,0.15998
9.74044,6.64603,0.17998
9.74040,6.66580,0.19998
9.74032,6.68558,0.21998
9.74024,6.70568,0.23997
9.74018,6.72591,0.25997
9.74014,6.74602,0.27997
9.74010,6.76579,0.29997
9.74002,6.78556,0.31996
9.73994,6.80567,0.33996
9.73988,6.82590,0.35996
9.73984,6.84601,0.37996
9.73980,6.86578,0.39996
9.73972,6.88555,0.41995
9.73964,6.90566,0.43995
9.73958,6.92588,0.45995
9.73954,6.94600,0.47995
9.73950,6.96577,0.49995
9.73942,6.98554,0.51994
9.73934,7.00565,0.53994
9.73928,7.02587,0.55994
9.73924,7.04598,0.57994
9.73920,7.06576,0.59993
9.73912,7.08553,0.61993
9.73904,7.10553,0.63993
9.73896,7.12552,0.65993
9.73888,7.14552,0.67993
9.73880,7.16574,0.69992
9.73876,7.18597,0.71992
9.73872,7.20585,0.73992
9.73866,7.22563,0.75992
9.73858,7.24551,0.77991
9.73850,7.26573,0.79991
9.73846,7.28595,0.81991
9.73842,7.30584,0.83991
9.73836,7.32562,0.85991
9.73828,7.34550,0.87990
9.73820,7.36572,0.89990
9.73816,7.38594,0.91990
9.73812,7.40583,0.93990
9.73806,7.42560,0.95989
9.73798,7.44549,0.97989
9.73790,7.46571,0.99989
9.73786,7.48593,1.01989
9.73782,7.50582,1.03989
9.73776,7.52559,1.05988
9.73768,7.54548,1.07988
9.73760,7.56570,1.09988
9.73756,7.58592,1.11988
9.73752,7.60581,1.13988
9.73746,7.62558,1.15987
9.73738,7.64546,1.17987
9.73730,7.66569,1.19987
9.73726,7.68591,1.21987
9.73722,7.70580,1.23986
9.73716,7.72557,1.25986
9.73708,7.74545,1.27986
9.73700,7.76545,1.29986
9.73692,7.78545,1.31986
9.73684,7.80556,1.33985
9.73678,7.82578,1.35985
9.73674,7.84589,1.37985
9.73670,7.86567,1.39985
9.73662,7.88544,1.41984
9.73654,7.90555,1.43984
9.73648,7.92577,1.45984
9.73644,7.94588,1.47984
9.73640,7.96566,1.49984
9.73632,7.98543,1.51983
9.73624,8.00553,1.53983
9.73618,8.02576,1.55983
9.73614,8.04587,1.57983
9.73610,8.06564,1.59982
9.73602,8.08542,1.61982
9.73594,8.10552,1.63982
9.73588,8.12575,1.65982
9.73584,8.14586,1.67982
9.73580,8.16563,1.69981
9.73572,8.18541,1.71981
9.73564,8.20551,1.73981
9.73558,8.22573,1.75981
9.73554,8.24585,1.77981
9.73550,8.26562,1.79980
9.73542,8.28539,1.81980
9.73534,8.30539,1.83980
9.73526,8.32539,1.85980
9.73518,8.34538,1.87979
9.73510,8.36560,1.89979
9.73506,8.38583,1.91979
9.73502,8.40572,1.93979
9.73496,8.42549,1.95979
9.73488,8.44537,1.97978
9.73480,8.46559,1.99978
9.73476,8.48582,2.01978
9.73472,8.50571,2.03978
9.73466,8.52548,2.05977
9.73458,8.54536,2.07977
9.73450,8.56558,2.09977
9.73446,8.58580,2.11977
9.73442,8.60569,2.13977
9.73436,8.62547,2.15976
9.73428,8.64535,2.17976
9.73420,8.66557,2.19976
9.73416,8.68579,2.21976
9.73412,8.70568,2.23975
9.73406,8.72546,2.25975
9.73398,8.74534,2.27975
9.73390,8.76556,2.29975
9.73386,8.78578,2.31975
9.73382,8.80567,2.33974
9.73376,8.82545,2.35974
9.73368,8.84533,2.37974
9.73360,8.86555,2.39974
9.73356,8.88577,2.41974
9.73352,8.90566,2.43973
9.73346,8.92543,2.45973
9.73338,8.94532,2.47973
9.73330,8.96531,2.49973
9.73322,8.98531,2.51972
9.73314,9.00542,2.53972
9.73308,9.02564,2.55972
9.73304,9.04575,2.57972
9.73300,9.06553,2.59972
9.73292,9.08530,2.61971
9.73284,9.10541,2.63971
9.73278,9.12563,2.65971
9.73274,9.14574,2.67971
9.73270,9.16552,2.69970
9.73262,9.18529,2.71970
9.73254,9.20539,2.73970
9.73248,9.22562,2.75970
9.73244,9.24573,2.77970
9.73240,9.26551,2.79969
9.73232,9.28528,2.81969
9.73224,9.30538,2.83969
9.73218,9.32561,2.85969
9.73214,9.34572,2.87968
9.73210,9.36550,2.89968
9.73202,9.38527,2.91968
9.73194,9.40537,2.93968
9.73188,9.42559,2.95968
9.73184,9.44571,2.97967
9.73180,9.46549,2.99967
9.73172,9.48526,3.01967
9.73164,9.50536,3.03967
9.73158,9.52558,3.05966
9.73154,9.54570,3.07966
9.73150,9.56547,3.09966
9.73142,9.58525,3.11966
9.73134,9.60524,3.13966
9.73126,9.62524,3.15965
9.73118,9.64524,3.17965
9.73110,9.66545,3.19965
9.73106,9.68568,3.21965
9.73102,9.70557,3.23965
9.73096,9.72534,3.25964
9.73088,9.74522,3.27964
9.73080,9.76544,3.29964
9.73076,9.78567,3.31964
9.73072,9.80556,3.33963
9.73066,9.82533,3.35963
9.73058,9.84521,3.37963
9.73050,9.86543,3.39963
9.73046,9.88565,3.41963
9.73042,9.90555,3.43962
9.73036,9.92532,3.45962
9.73028,9.94520,3.47962
9.73020,9.96542,3.49962
9.73016,9.98564,3.51961
9.73012,10.00554,3.53961
9.73006,10.02531,3.55961
9.72998,10.04519,3.57961
9.72990,10.06541,3.59961
9.72986,10.08563,3.61960
9.72982,10.10552,3.63960
9.72976,10.12530,3.65960
9.72968,10.14518,3.67960
9.72960,10.16540,3.69959
9.72956,10.18562,3.71959
9.72952,10.20551,3.73959
9.72946,10.22529,3.75959
9.72938,10.24517,3.77959
9.72930,10.26516,3.79958
9.72922,10.28516,3.81958
9.72914,10.30527,3.83958
9.72908,10.32549,3.85958
9.72904,10.34561,3.87958
9.72900,10.36538,3.89957
9.72892,10.38516,3.91957
9.72884,10.40526,3.93957
9.72878,10.42548,3.95957
9.72874,10.44559,3.97956
9.72870,10.46537,3.99956
9.72862,10.48514,4.01956
9.72854,10.50524,4.03956
9.72848,10.52547,4.05956
9.72844,10.54558,4.07955
9.72840,10.56536,4.09955
9.72832,10.58513,4.11955
9.72824,10.60523,4.13955
9.72818,10.62546,4.15954
9.72814,10.64557,4.17954
9.72810,10.66535,4.19954
9.72802,10.68512,4.21954
9.72794,10.70522,4.23954
9.72788,10.72544,4.25953
9.72784,10.74556,4.27953
9.72780,10.76534,4.29953
9.72772,10.78511,4.31953
9.72764,10.80521,4.33952
9.72758,10.82543,4.35952
9.72754,10.84555,4.37952
9.72750,10.86533,4.39952
9.72742,10.88510,4.41952
9.72734,10.90509,4.43951
9.72726,10.92509,4.45951
9.72718,10.94509,4.47951
9.72710,10.96530,4.49951
9.72706,10.98553,4.51951
9.72702,11.00542,4.53950
9.72696,11.02520,4.55950
9.72688,11.04507,4.57950
9.72680,11.06529,4.59950
9.72676,11.08551,4.61949
9.72672,11.10541,4.63949
9.72666,11.12518,4.65949
9.72658,11.14506,4.67949
9.72650,11.16528,4.69949
