x_m,y_m,s_m
10.19100,6.46619,0.00000
10.19092,6.48740,0.02000
10.19084,6.50728,0.04000
10.19078,6.52706,0.05999
10.19074,6.54694,0.07999
10.19070,6.56716,0.09999
10.19062,6.58739,0.11999
10.19054,6.60727,0.13998
10.19048,6.62704,0.15998
10.19044,6.64693,0.17998
10.19040,6.66715,0.19998
10.19032,6.68737,0.21998
10.19024,6.70726,0.23997
10.19018,6.72703,0.25997
10.19014,6.74692,0.27997
10.19010,6.76714,0.29997
10.19002,6.78736,0.31996
10.18994,6.80725,0.33996
10.18988,6.82702,0.35996
10.18984,6.84691,0.37996
10.18980,6.86713,0.39996
10.18972,6.88735,0.41995
10.18964,6.90724,0.43995
10.18958,6.92701,0.45995
10.18954,6.94690,0.47995
10.18950,6.96712,0.49995
10.18942,6.98734,0.51994
10.18934,7.00723,0.53994
10.18928,7.02700,0.55994
10.18924,7.04688,0.57994
10.18920,7.06711,0.59993
10.18912,7.08733,0.61993
10.18904,7.10733,0.63993
10.18896,7.12732,0.65993
10.18888,7.14732,0.67993
10.18880,7.16710,0.69992
10.18876,7.18687,0.71992
10.18872,7.20698,0.73992
10.18866,7.22720,0.75992
10.18858,7.24731,0.77991
10.18850,7.26708,0.79991
10.18846,7.28686,0.81991
10.18842,7.30697,0.83991
10.18836,7.32719,0.85991
10.18828,7.34730,0.87990
10.18820,7.36707,0.89990
10.18816,7.38685,0.91990
10.18812,7.40695,0.93990
10.18806,7.42718,0.95989
10.18798,7.44729,0.97989
10.18790,7.46706,0.99989
10.18786,7.48683,1.01989
10.18782,7.50694,1.03989
10.18776,7.52716,1.05988
10.18768,7.54728,1.07988
10.18760,7.56705,1.09988
10.18756,7.58682,1.11988
10.18752,7.60693,1.13988
10.18746,7.62715,1.15987
10.18738,7.64726,1.17987
10.18730,7.66704,1.19987
10.18726,7.68681,1.21987
10.18722,7.70692,1.23986
10.18716,7.72714,1.25986
10.18708,7.74725,1.27986
10.18700,7.76725,1.29986
10.18692,7.78725,1.31986
10.18684,7.80714,1.33985
10.18678,7.82691,1.35985
10.18674,7.84679,1.37985
10.18670,7.86701,1.39985
10.18662,7.88724,1.41984
10.18654,7.90712,1.43984
10.18648,7.92690,1.45984
10.18644,7.94678,1.47984
10.18640,7.96700,1.49984
10.18632,7.98722,1.51983
10.18624,8.00711,1.53983
10.18618,8.02689,1.55983
10.18614,8.04677,1.57983
10.18610,8.06699,1.59982
10.18602,8.08721,1.61982
10.18594,8.10710,1.63982
10.18588,8.12687,1.65982
10.18584,8.14676,1.67982
10.18580,8.16698,1.69981
10.18572,8.18720,1.71981
10.18564,8.20709,1.73981
10.18558,8.22686,1.75981
10.18554,8.24675,1.77981
10.18550,8.26697,1.79980
10.18542,8.28719,1.81980
10.18534,8.30719,1.83980
10.18526,8.32719,1.85980
10.18518,8.34718,1.87979
10.18510,8.36696,1.89979
10.18506,8.38673,1.91979
10.18502,8.40684,1.93979
10.18496,8.42706,1.95979
10.18488,8.44717,1.97978
10.18480,8.46695,1.99978
10.18476,8.48672,2.01978
10.18472,8.50683,2.03978
10.18466,8.52705,2.05977
10.18458,8.54716,2.07977
10.18450,8.56694,2.09977
10.18446,8.58671,2.11977
